РВСВ_1,РВСН_1,РВЛВ_0,РВЛВ_1,РВЛВ_3,РВЛВ_4,РВЛВ_6,РВЛВ_7,РВЛВ_9,РВЛВ_10,РВЛВ_12,РВЛН_0,РВЛН_1,РВЛН_2,РВЛН_3,РВЛН_4,РВЛН_5,РВЛН_6,РВЛН_7,РВЛН_8,РВЛН_9,РВЛН_10,РВЛН_12
603.9567,1208.921,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,1385.963,1385.963,768.9012,1385.963,1385.963,768.9012,1385.963,1385.963,768.9012,1385.963,1385.963,1385.963
603.9567,1208.921,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,1384.955,1384.955,768.9012,1384.955,1384.955,768.9012,1384.955,1384.955,768.9012,1384.955,1384.955,1384.955
603.9567,1207.913,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,603.9567,1383.947,1383.947,767.8931,1383.947,1383.947,767.8931,1383.947,1383.947,767.8931,1383.947,1383.947,1383.947
600.9324,1202.999,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,1378.906
600.9324,1202.999,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,1378.906
600.9324,1202.999,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,1377.898
600.9324,1202.999,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,1377.898
599.9244,1199.975,474.9244,474.9244,474.9244,474.9244,474.9244,474.9244,474.9244,474.9244,474.9244,1324.975,1324.975,724.9244,1324.975,1324.975,724.9244,1324.975,1324.975,724.9244,1324.975,1324.975,1324.975
599.9244,1199.975,474.9244,474.9244,474.9244,474.9244,474.9244,474.9244,474.9244,474.9244,474.9244,1324.975,1324.975,724.9244,1324.975,1324.975,724.9244,1324.975,1324.975,724.9244,1324.975,1324.975,1324.975
600.9324,1202.999,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,1377.898
