group_of_standard,Углерод,Кремний,Марганец,Сера,Фосфор,Хром,Никель,Медь,Алюминий,Титан,Ванадий,Ниобий,Молибден,Бор,Кальций,Цинк,Олово,Мышьяк,Железо,Азот,C_EKV,K_SVAR,номер раската
3,0.0649,0.2407,1.7128,0.0025,0.0079,0.0434,0.1778,0.147,0.036,0.0224,0.003,0.0492,0.006,0.0005,0.00165,0.001,0.0051,0.0047,97.3853,0.0047,0.38,0.17,2
3,0.0649,0.2407,1.7128,0.0025,0.0079,0.0434,0.1778,0.147,0.036,0.0224,0.003,0.0492,0.006,0.0005,0.00165,0.001,0.0051,0.0047,97.3853,0.0047,0.38,0.17,6
3,0.07,0.24,1.74,0.003,0.009,0.03,0.16,0.12,0.035,0.021,0.005,0.052,0.002,0.0005,0.002,0.0013,0.0038,0.003,97.4741,0.005,0.39,0.18,10
3,0.07,0.24,1.74,0.003,0.009,0.03,0.16,0.12,0.035,0.021,0.005,0.052,0.002,0.0005,0.002,0.0013,0.0038,0.003,97.4741,0.005,0.39,0.18,12
3,0.07,0.27,1.7,0.003,0.009,0.03,0.16,0.12,0.039,0.024,0.005,0.052,0.003,0.0004,0.003,0.0005,0.0032,0.0028,97.4869,0.004,0.38,0.17,15
3,0.07,0.27,1.7,0.003,0.009,0.03,0.16,0.12,0.039,0.024,0.005,0.052,0.003,0.0004,0.003,0.0005,0.0032,0.0028,97.4869,0.004,0.38,0.17,10
3,0.07,0.24,1.73,0.003,0.007,0.04,0.19,0.14,0.045,0.023,0.003,0.051,0.013,0.0007,0.002,0.0008,0.0043,0.0041,97.3494,0.006,0.39,0.18,9
3,0.07,0.24,1.73,0.003,0.007,0.04,0.19,0.14,0.045,0.023,0.003,0.051,0.013,0.0007,0.002,0.0008,0.0043,0.0041,97.3494,0.006,0.39,0.18,1
3,0.07,0.25,1.74,0.002,0.008,0.04,0.18,0.16,0.041,0.024,0.003,0.053,0.005,0.0006,0.002,0.0016,0.0047,0.0037,97.3961,0.005,0.39,0.18,7
3,0.07,0.25,1.74,0.002,0.008,0.04,0.18,0.16,0.041,0.024,0.003,0.053,0.005,0.0006,0.002,0.0016,0.0047,0.0037,97.3961,0.005,0.39,0.18,9
0,0.07,0.25,1.75,0.001,0.01,0.04,0.16,0.12,0.035,0.02,0.003,0.049,0.003,0.0005,0.002,0.0017,0.0032,0.003,97.4665,0.004,0.4,0.18,12
0,0.07,0.25,1.75,0.001,0.01,0.04,0.16,0.12,0.035,0.02,0.003,0.049,0.003,0.0005,0.002,0.0017,0.0032,0.003,97.4665,0.004,0.4,0.18,3
0,0.07,0.23,1.72,0.002,0.01,0.04,0.15,0.12,0.035,0.018,0.005,0.05,0.003,0.0005,0.002,0.0017,0.0031,0.0031,97.5155,0.005,0.38,0.18,6
0,0.07,0.23,1.72,0.002,0.01,0.04,0.15,0.12,0.035,0.018,0.005,0.05,0.003,0.0005,0.002,0.0017,0.0031,0.0031,97.5155,0.005,0.38,0.18,9
0,0.06,0.26,1.73,0.003,0.012,0.05,0.16,0.13,0.032,0.019,0.005,0.051,0.003,0.0005,0.001,0.0022,0.0036,0.0033,97.4495,0.004,0.38,0.17,6
0,0.06,0.26,1.73,0.003,0.012,0.05,0.16,0.13,0.032,0.019,0.005,0.051,0.003,0.0005,0.001,0.0022,0.0036,0.0033,97.4495,0.004,0.38,0.17,5
0,0.06,0.27,1.72,0.002,0.011,0.04,0.16,0.12,0.034,0.021,0.003,0.052,0.002,0.0006,0.002,0.0015,0.0031,0.0028,97.4674,0.005,0.37,0.17,7
0,0.06,0.27,1.72,0.002,0.011,0.04,0.16,0.12,0.034,0.021,0.003,0.052,0.002,0.0006,0.002,0.0015,0.0031,0.0028,97.4674,0.005,0.37,0.17,8
0,0.07,0.25,1.72,0.002,0.009,0.04,0.16,0.12,0.034,0.019,0.003,0.048,0.004,0.0005,0.002,0.0011,0.0029,0.0028,97.4429,0.005,0.38,0.18,5
0,0.07,0.25,1.72,0.002,0.009,0.04,0.16,0.12,0.034,0.019,0.003,0.048,0.004,0.0005,0.002,0.0011,0.0029,0.0028,97.4429,0.005,0.38,0.18,4
0,0.07,0.24,1.72,0.002,0.012,0.05,0.17,0.13,0.033,0.021,0.007,0.053,0.005,0.0004,0.002,0.0009,0.0034,0.003,97.4601,0.004,0.39,0.18,14
