РВСВ_3,РВЛН_13,РВСН_3,РВЛВ_13,РВЛН_11
546.875,1194.934,1094.884,477.9486,696.9506
546.875,1133.947,1093.876,486.8952,636.9708
546.875,1133.947,1093.876,486.8952,636.9708
537.9284,1107.989,1076.991,489.9193,619.9597
537.9284,1107.989,1076.991,489.9193,619.9597
537.9284,1107.989,1076.991,469.8841,619.9597
600.9324,1276.966,1202.999,500.882,675.9072
601.9405,1278.982,1203.881,500.882,675.9072
598.9163,1273.942,1198.967,498.9919,673.8911
598.9163,1273.942,1198.967,498.9919,673.8911
598.9163,1273.942,1198.967,498.9919,673.8911
599.9244,1274.95,1199.975,500.0,674.8992
600.9324,1327.999,1202.999,500.882,725.9324
600.9324,1327.999,1202.999,500.882,725.9324
608.9969,1312.878,1217.994,516.8851,701.9909
608.9969,1312.878,1217.994,516.8851,701.9909
541.9607,1113.911,1083.921,472.9083,622.9839
542.9688,1115.927,1085.938,473.9163,623.9919
550.9072,1151.966,1101.941,500.882,650.9576
551.9153,1179.939,1104.965,501.8901,676.9153
539.9446,1110.887,1079.889,471.9002,620.9677
552.9234,1181.956,1106.981,502.8982,677.9234
552.9234,1182.964,1106.981,502.8982,677.9234
553.9315,1182.964,1107.989,502.8982,677.9234
553.9315,1183.972,1108.997,502.8982,678.9315
553.9315,1182.964,1107.989,502.8982,677.9234
549.8992,1175.907,1100.932,500.0,674.8992
549.8992,1174.899,1099.924,500.0,674.8992
548.8911,1172.883,1097.908,498.9919,673.8911
548.8911,1172.883,1097.908,498.9919,673.8911
548.8911,1172.883,1097.908,498.9919,673.8911
548.8911,1172.883,1097.908,498.9919,673.8911
549.8992,1174.899,1099.924,500.0,674.8992
549.8992,1174.899,1099.924,500.0,674.8992
550.9072,1178.931,1102.949,500.882,675.9072
550.9072,1178.931,1102.949,500.882,675.9072
551.9153,1179.939,1104.965,501.8901,676.9153
551.9153,1179.939,1104.965,501.8901,676.9153
552.9234,1181.956,1106.981,502.8982,677.9234
552.9234,1181.956,1106.981,502.8982,677.9234
599.9244,1294.985,1199.975,509.9546,694.9344
599.9244,1294.985,1199.975,509.9546,694.9344
593.876,1293.977,1188.886,485.8871,699.9748
593.876,1293.977,1188.886,485.8871,699.9748
587.9536,1261.971,1175.907,470.8921,674.8992
588.9617,1264.995,1178.931,471.9002,675.9072
552.9234,1182.964,1106.981,502.8982,677.9234
552.9234,1182.964,1106.981,502.8982,677.9234
552.9234,1182.964,1106.981,502.8982,677.9234
552.9234,1182.964,1106.981,502.8982,677.9234
553.9315,1217.994,1107.989,502.8982,713.9617
553.9315,1217.994,1107.989,502.8982,713.9617
553.9315,1217.994,1107.989,502.8982,713.9617
553.9315,1217.994,1107.989,502.8982,713.9617
553.9315,1218.876,1108.997,502.8982,713.9617
553.9315,1218.876,1108.997,502.8982,713.9617
543.9768,1196.951,1087.954,493.9516,703.881
543.9768,1197.959,1088.962,494.9597,703.881
545.9929,1170.993,1091.986,480.9728,675.9072
545.9929,1171.875,1091.986,480.9728,675.9072
546.875,1174.899,1094.884,482.9889,676.9153
594.8841,1274.95,1189.894,475.9325,679.9395
601.9405,1278.982,1203.881,500.882,675.9072
601.9405,1278.982,1203.881,500.882,675.9072
602.9486,1281.88,1206.905,501.8901,677.9234
602.9486,1281.88,1206.905,501.8901,677.9234
546.875,1144.909,1094.884,497.9839,646.9254
546.875,1144.909,1094.884,497.9839,646.9254
554.9395,1160.912,1110.887,524.9496,653.9819
554.9395,1161.92,1110.887,524.9496,654.9899
551.9153,1139.995,1104.965,586.9456,636.9708
551.9153,1139.995,1104.965,586.9456,636.9708
551.9153,1139.995,1104.965,586.9456,636.9708
551.9153,1139.995,1104.965,586.9456,636.9708
602.9486,1396.925,1104.965,652.9738,791.9607
602.9486,1396.925,1104.965,652.9738,791.9607
553.9315,1128.906,1108.997,563.8861,622.9839
553.9315,1129.914,1108.997,564.8942,623.9919
553.9315,1128.906,1108.997,563.8861,622.9839
553.9315,1128.906,1108.997,563.8861,622.9839
604.9647,1401.966,1108.997,654.9899,793.9768
603.9567,1400.958,1108.997,654.9899,793.9768
552.9234,1125.882,1105.973,562.878,621.9758
550.9072,1123.992,1102.949,561.996,620.9677
501.8901,0.0,1004.914,0.0,0.0
551.9153,0.0,1004.914,0.0,0.0
547.8831,1065.902,1095.892,502.8982,567.9183
551.9153,1073.967,1104.965,506.9305,571.9506
553.9315,1108.997,1108.997,503.9063,603.9567
548.8911,1246.976,1097.908,597.9083,747.9839
548.8911,1197.959,1097.908,548.8911,698.9667
548.8911,1197.959,1097.908,548.8911,698.9667
548.8911,1196.951,1097.908,548.8911,698.9667
547.8831,1145.917,1095.892,547.8831,647.9335
547.8831,1145.917,1095.892,547.8831,647.9335
547.8831,1145.917,1095.892,547.8831,647.9335
541.9607,1133.947,1084.929,541.9607,642.8931
541.9607,1133.947,1084.929,541.9607,642.8931
547.8831,1174.899,1095.892,482.9889,677.9234
547.8831,1175.907,1095.892,482.9889,677.9234
547.8831,1175.907,1095.892,482.9889,677.9234
549.8992,1180.948,1100.932,484.879,679.9395
549.8992,1180.948,1100.932,484.879,679.9395
578.881,1228.957,1158.896,526.9657,750.8821
579.8891,1230.973,1160.912,527.9738,751.8901
596.9002,1343.876,1193.926,526.9657,746.9758
596.9002,1343.876,1193.926,526.9657,746.9758
586.9456,1273.942,1174.899,543.9768,757.9385
586.9456,1273.942,1174.899,543.9768,757.9385
597.9083,1295.993,1195.943,552.9234,767.8931
597.9083,1296.875,1196.951,552.9234,767.8931
595.8922,1291.961,1191.91,550.9072,765.877
594.8841,1290.953,1190.902,550.9072,765.877
592.994,1286.92,1186.996,548.8911,763.9869
592.994,1286.92,1186.996,548.8911,763.9869
593.876,1273.942,1187.878,484.879,679.9395
593.876,1273.942,1187.878,484.879,679.9395
550.9072,1227.949,1102.949,500.882,725.9324
551.9153,1229.965,1104.965,501.8901,726.9405
551.9153,1230.973,1104.965,501.8901,726.9405
542.9688,1185.988,1085.938,493.9516,692.9183
549.8992,1199.975,1099.924,500.0,699.9748
547.8831,1121.976,1096.9,472.9083,523.9415
547.8831,1121.976,1096.9,472.9083,523.9415
555.9476,1110.887,1111.895,504.9143,604.9647
555.9476,1111.895,1112.903,504.9143,604.9647
546.875,1113.911,1093.876,486.8952,616.9355
546.875,1113.911,1093.876,486.8952,616.9355
546.875,1113.911,1093.876,486.8952,616.9355
546.875,1133.947,1093.876,476.9405,636.9708
547.8831,1086.946,1096.9,492.9435,587.9536
